ARBID decimal,ARBID hex,ARBID name,Diag ID decimal,Diag ID hex,Module
1509,0x5E5,Dienste,101,0x65,SZM/SZM_MIT_KBUS
1511,0x5E7,Dienste,103,0x67,ZBE/ZBE_LO
1515,0x5EB,Dienste,107,0x6B,HKL
1517,0x5ED,Dienste,109,0x6D,SM_FA/SM_FA_KBUS
1518,0x5EE,Dienste,110,0x6E,SM_BF/SM_BF_KBUS
1520,0x5F0,Dienste,112,0x70,LM/LM_ALC
1521,0x5F1,Dienste,113,0x71,AHM
1522,0x5F2,Dienste,114,0x72,KBM
1523,0x5F3,Dienste,115,0x73,CID_C/CID_C_H
1528,0x5F8,Dienste,120,0x78,IHKA
1530,0x5FA,Dienste,122,0x7A,SH_ZH
1533,0x5FD,Dienste,125,0x7D,Diagnosetool_PT_CAN
1534,0x5FE,Dienste,126,0x7E,Diagnosetool_K_CAN_System
1545,0x609,Dienste,137,0x89,Xenon_Scheinwerfer_Links_ALC
1546,0x60A,Dienste,138,0x8A,Xenon_Scheinwerfer_Rechts_ALC
1547,0x60B,Dienste,139,0x8B,CNV
1649,0x671,Dienste,241,0xF1,Diagnosedose
4095,0xFFF,unbekannt,255,0xFF,Sender unbekannt
